,Pos,G,GS,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Pass_1D,GWD,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Fmb,AY/A,Total_TD,Total_Yds,Total_1D,Total_TOs,Int_Pct,Pass_TD_Pct,Pass_Yds_Att,Pass_Yds_Cmp,TD_to_TO_Ratio,Tot_Yds_Gm,1D/G,TD/G
Aaron Rodgers,QB,143.0,143.0,3247.0,4976.0,38522.0,325.0,57.0,1847.0,20.0,463.0,2345.0,18.0,171.0,58.0,8.53,343.0,40867.0,2018.0,115.0,1.1455,6.5314,7.74,11.86,2.9826,285.7832,14.11,2.4
Alex Smith,QB,120.0,117.0,2386.0,3679.0,26251.0,148.0,56.0,1278.0,17.0,451.0,2154.0,13.0,138.0,43.0,7.25,161.0,28405.0,1416.0,99.0,1.5222,4.0228,7.14,11.0,1.6263,236.7083,11.8,1.34
Andrew Luck,QB,86.0,86.0,2000.0,3290.0,23671.0,171.0,83.0,1190.0,20.0,332.0,1590.0,14.0,114.0,44.0,7.1,185.0,25261.0,1304.0,127.0,2.5228,5.1976,7.19,11.84,1.4567,293.7326,15.16,2.15
Andy Dalton,QB,144.0,142.0,2973.0,4782.0,33764.0,218.0,126.0,1624.0,27.0,422.0,1335.0,22.0,127.0,48.0,6.79,240.0,35099.0,1751.0,174.0,2.6349,4.5588,7.06,11.36,1.3793,243.7431,12.16,1.67
Baker Mayfield,QB,46.0,45.0,932.0,1506.0,11115.0,75.0,43.0,538.0,7.0,121.0,437.0,4.0,41.0,21.0,7.09,79.0,11552.0,579.0,64.0,2.8552,4.9801,7.38,11.93,1.2344,251.1304,12.59,1.72
Ben Roethlisberger,QB,134.0,133.0,3284.0,5038.0,37846.0,252.0,115.0,1850.0,24.0,233.0,494.0,5.0,52.0,59.0,7.49,257.0,38340.0,1902.0,174.0,2.2827,5.002,7.51,11.52,1.477,286.1194,14.19,1.92
Blaine Gabbert,QB,55.0,48.0,839.0,1491.0,9025.0,47.0,47.0,428.0,7.0,176.0,626.0,3.0,50.0,32.0,5.26,50.0,9651.0,478.0,79.0,3.1522,3.1522,6.05,10.76,0.6329,175.4727,8.69,0.91
Blake Bortles,QB,75.0,73.0,1561.0,2632.0,17646.0,103.0,75.0,884.0,8.0,281.0,1775.0,8.0,121.0,46.0,6.2,111.0,19421.0,1005.0,121.0,2.8495,3.9134,6.7,11.3,0.9174,258.9467,13.4,1.48
Brandon Weeden,QB,34.0,25.0,559.0,965.0,6462.0,31.0,30.0,266.0,3.0,61.0,201.0,1.0,14.0,15.0,5.94,32.0,6663.0,280.0,45.0,3.1088,3.2124,6.7,11.56,0.7111,195.9706,8.24,0.94
Brian Hoyer,QB,52.0,39.0,860.0,1456.0,10111.0,51.0,34.0,443.0,6.0,71.0,117.0,1.0,14.0,20.0,6.59,52.0,10228.0,457.0,54.0,2.3352,3.5027,6.94,11.76,0.963,196.6923,8.79,1.0
Brock Osweiler,QB,36.0,30.0,680.0,1135.0,7259.0,36.0,31.0,357.0,5.0,73.0,277.0,4.0,24.0,12.0,5.8,40.0,7536.0,381.0,43.0,2.7313,3.1718,6.4,10.68,0.9302,209.3333,10.58,1.11
Cam Newton,QB,140.0,139.0,2613.0,4348.0,31698.0,190.0,118.0,1552.0,20.0,1071.0,5398.0,70.0,422.0,61.0,6.94,260.0,37096.0,1974.0,179.0,2.7139,4.3698,7.29,12.13,1.4525,264.9714,14.1,1.86
Carson Palmer,QB,85.0,84.0,1917.0,3090.0,23553.0,140.0,87.0,1144.0,18.0,122.0,158.0,3.0,27.0,40.0,7.26,143.0,23711.0,1171.0,127.0,2.8155,4.5307,7.62,12.29,1.126,278.9529,13.78,1.68
Carson Wentz,QB,68.0,68.0,1562.0,2492.0,16811.0,113.0,50.0,855.0,10.0,258.0,1061.0,8.0,98.0,58.0,6.75,121.0,17872.0,953.0,108.0,2.0064,4.5345,6.75,10.76,1.1204,262.8235,14.01,1.78
Case Keenum,QB,67.0,62.0,1304.0,2091.0,14368.0,75.0,47.0,663.0,10.0,131.0,428.0,6.0,42.0,33.0,6.58,81.0,14796.0,705.0,80.0,2.2477,3.5868,6.87,11.02,1.0125,220.8358,10.52,1.21
Chad Henne,QB,35.0,27.0,605.0,1039.0,6933.0,33.0,30.0,313.0,1.0,72.0,276.0,3.0,24.0,10.0,6.01,36.0,7209.0,337.0,40.0,2.8874,3.1761,6.67,11.46,0.9,205.9714,9.63,1.03
Christian Ponder,QB,38.0,36.0,632.0,1057.0,6658.0,38.0,36.0,354.0,3.0,126.0,639.0,7.0,40.0,20.0,5.49,45.0,7297.0,394.0,56.0,3.4059,3.5951,6.3,10.53,0.8036,192.0263,10.37,1.18
Colin Kaepernick,QB,66.0,58.0,1008.0,1687.0,12236.0,72.0,30.0,572.0,7.0,373.0,2302.0,13.0,120.0,40.0,7.31,85.0,14538.0,692.0,70.0,1.7783,4.2679,7.25,12.14,1.2143,220.2727,10.48,1.29
Colt McCoy,QB,26.0,22.0,448.0,738.0,4659.0,22.0,19.0,227.0,5.0,98.0,367.0,1.0,29.0,21.0,5.75,23.0,5026.0,256.0,40.0,2.5745,2.981,6.31,10.4,0.575,193.3077,9.85,0.88
Dak Prescott,QB,69.0,69.0,1514.0,2293.0,17634.0,106.0,40.0,875.0,15.0,259.0,1314.0,24.0,107.0,34.0,7.83,130.0,18948.0,982.0,74.0,1.7444,4.6228,7.69,11.65,1.7568,274.6087,14.23,1.88
Daniel Jones,QB,27.0,26.0,564.0,907.0,5970.0,35.0,22.0,288.0,2.0,110.0,702.0,3.0,36.0,29.0,6.26,38.0,6672.0,324.0,51.0,2.4256,3.8589,6.58,10.59,0.7451,247.1111,12.0,1.41
DeShone Kizer,QB,15.0,15.0,255.0,476.0,2894.0,11.0,22.0,131.0,0.0,77.0,419.0,5.0,32.0,9.0,4.46,16.0,3313.0,163.0,31.0,4.6218,2.3109,6.08,11.35,0.5161,220.8667,10.87,1.07
Derek Carr,QB,110.0,110.0,2468.0,3830.0,26896.0,170.0,71.0,1291.0,24.0,214.0,635.0,6.0,58.0,63.0,7.08,176.0,27531.0,1349.0,134.0,1.8538,4.4386,7.02,10.9,1.3134,250.2818,12.26,1.6
